Set,Tube,Envelope,Source,Ear,Sample,Rep,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Ca44,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Rb85,Sr88,Mo98,Cd111
R5,151,34,IA,3,base,1,33.1,80.5,2827,3,7916,4382,8414,134,152,11.46,29.1,0.0097,0.75,4.66,46.2,0.002,5.7,0.28,0.279,0.005
R5,152,35,IA,3,middle,1,36.7,69.4,2463,5,6959,4293,8115,67,81,10.28,31.6,0.0068,0.61,2.36,43.5,0.003,5.59,0.105,0.284,0.008
R5,153,36,IA,3,tip,1,51.6,86.3,2712,6,7801,5061,9263,50,64,10.9,37.4,0.0071,0.97,3.87,62.8,0.002,7.86,0.073,0.316,0.009
R5,154,28,IA,1,base,2,32.8,76.3,2870,3.7,8326,4656,8649,132,165,12.7,30.9,0.0051,0.88,4.09,48,0.003,6.33,0.321,0.257,0.007
R5,155,29,IA,1,middle,2,37.2,103.8,2809,4,8428,4692,9859,72,94,12.09,30.5,0.0043,0.96,2.74,58.5,0.002,7.58,0.113,0.287,0.007
R5,156,30,IA,1,tip,2,33.3,84,2588,4,7410,4501,8593,62,74,10.29,33.8,0.0048,0.98,3.3,56.2,0.002,7.65,0.092,0.224,0.006
R5,157,31,IA,2,base,2,46,98.1,2631,5.6,7862,4133,9655,102,120,10.85,30.9,0.0046,0.64,5.04,33.9,0.001,5.19,0.224,0.233,0.003
R5,158,32,IA,2,middle,2,38.5,94.2,2602,5.6,7443,4070,9193,85,101,10.65,38.9,0.0192,1.21,2.53,43.3,0.003,5.46,0.16,0.344,0.004
R5,159,33,IA,2,tip,2,36.5,78.6,2569,5.6,7630,4707,9064,60,77,10.36,35.6,0.0151,0.84,3.76,51.1,0,6.06,0.101,0.332,0.004
R5,160,34,IA,3,base,2,56.4,101.4,2766,8.5,8066,4516,9693,94,118,12.08,34.4,0.0149,0.99,4,48.2,0.003,6.22,0.203,0.273,0.006
R5,161,35,IA,3,middle,2,45.3,89.9,2656,5.4,7657,4770,9413,75,92,11.43,39.2,0.0147,1.35,2.75,52.7,0.004,6.45,0.107,0.404,0.007
R5,162,36,IA,3,tip,2,60.6,99.3,2872,6.6,8523,4577,10835,54,70,13.43,39.4,0.0088,0.96,4.19,60.8,0.002,8.95,0.091,0.255,0.002
R5,163,28,IA,1,base,3,61.7,102.9,2610,8.3,7355,4095,8076,104,132,11.85,29.8,0.0057,0.94,3.46,41.9,0.002,5.69,0.292,0.252,0.008
R5,164,29,IA,1,middle,3,44.8,78.5,2462,5.3,6815,3919,8488,66,72,10.11,30.9,0.0077,0.96,1.82,43.4,0,6.02,0.104,0.218,0.003
R5,165,30,IA,1,tip,3,36,74.3,2684,3.9,7839,4353,9932,58,64,12.61,27.2,0.0059,1.09,3.28,62.3,0.002,8.63,0.081,0.237,0.006
R5,166,31,IA,2,base,3,38.6,76.5,2663,4.5,7787,3997,8905,89,100,10.43,29.7,0.0048,0.59,3.75,42.8,0.001,5.28,0.219,0.255,0.012
R5,167,32,IA,2,middle,3,33.1,93.7,2490,3.3,7067,3919,8550,70,87,10.6,27.9,0.0038,0.55,2.1,45.5,0.003,5.07,0.14,0.232,0.007
R5,168,33,IA,2,tip,3,27.6,66.7,2387,3.5,7114,3952,9162,44,43,9.17,35.5,0.0031,0.53,3.33,50.4,0.003,5.81,0.05,0.27,0.005
R5,169,34,IA,3,base,3,31.2,89.2,2781,3.7,8379,4276,9430,101,114,11.9,31.6,0.0041,0.6,4.19,45.4,0.004,5.47,0.198,0.269,0.005
R5,170,35,IA,3,middle,3,36.1,108.9,2366,3.5,6579,3754,7752,75,81,10.2,33.4,0.0158,1.1,2.12,43.9,0.002,5.06,0.126,0.335,0.006
R5,171,36,IA,3,tip,3,30.4,83.8,2622,3.5,7602,4575,8924,67,75,11.65,35.5,0.007,0.81,3.39,54.4,0.002,6.75,0.092,0.269,0.009
R5,172,28,IA,1,base,4,38.8,89,2607,3.7,7290,4220,7427,153,175,11.01,30.1,0.006,0.74,3.09,41.3,0.001,5.05,0.387,0.295,0.007
R5,173,29,IA,1,middle,4,50.3,86.4,2487,5,7185,4176,8771,61,71,10.45,28.5,0.006,0.77,1.91,46.4,0.002,6.19,0.089,0.233,0.006
R5,174,30,IA,1,tip,4,58.3,99.2,2760,6.1,8277,5167,10116,50,71,11.61,34.5,0.0129,1.24,4.38,62.1,0.004,8.13,0.07,0.344,0.012
R5,175,31,IA,2,base,4,41.1,102.5,2580,3.4,7780,4433,9015,90,116,10.49,35.9,0.0115,0.86,3.53,39.6,0.003,5.15,0.185,0.321,0.003
R5,176,32,IA,2,middle,4,32.2,83.6,2554,3.3,7120,3961,8788,60,67,9.74,34.1,0.0097,0.82,2.26,43.6,0.005,5.02,0.1,0.297,0.005
R5,177,33,IA,2,tip,4,35,93.1,2466,3.3,7227,4448,8639,51,51,9.23,34.9,0.0077,0.75,3.25,56.1,0.005,6,0.061,0.293,0.009
R5,178,34,IA,3,base,4,39.5,73.4,2904,5.3,8334,4419,9390,83,103,12.11,32.6,0.0047,0.66,3.44,46.9,0.003,6.04,0.157,0.235,0.009
R5,179,35,IA,3,middle,4,41.7,92.5,2390,4.4,6497,3976,7811,71,79,10.09,36.1,0.0086,0.76,2.34,47.5,0.005,5.49,0.096,0.302,0.007
R5,180,36,IA,3,tip,4,37.5,87.5,2428,4.1,7061,4731,8535,61,79,10.64,40.8,0.0048,0.71,3.5,56,0.003,7.07,0.088,0.274,0.014
R5,181,28,IA,1,base,5,38.1,109.4,2738,4.3,7383,4294,8000,159,183,11.78,34.4,0.0079,0.73,3.46,42,0.001,5.89,0.308,0.253,0.005
R5,182,29,IA,1,middle,5,55.6,107.6,2613,8.9,6969,4224,7814,59,63,10.1,28.6,0.0086,0.8,2.01,50.5,0.001,6.08,0.08,0.255,0.007
R5,183,30,IA,1,tip,5,35.9,80.6,2679,5.4,7889,4524,10045,59,68,12.84,28.5,0.0076,1.03,4.28,69.8,0.004,8.72,0.078,0.262,0.013
R5,184,31,IA,2,base,5,50.8,106,2777,5.9,7931,4503,9148,90,96,10.8,31.9,0.005,0.6,3.67,43.6,0.003,5.43,0.138,0.23,0.015
R5,185,32,IA,2,middle,5,29.5,64.9,2589,4.6,7206,3992,9058,77,82,9.89,32.9,0.0063,0.47,2.53,45.2,0.001,5.54,0.125,0.234,0.005
R5,186,33,IA,2,tip,5,26.8,63,2551,4.8,7548,4321,9539,72,77,10.18,33.7,0.0062,0.68,3.14,49.1,0.004,6.28,0.09,0.294,0.008
R5,187,34,IA,3,base,5,26.6,79.4,2822,3.5,8107,4170,8950,179,201,11.94,27,0.0076,0.7,3.93,47.5,0.001,6.22,0.42,0.288,0.035
R5,188,35,IA,3,middle,5,32.2,84.6,2635,3.7,7266,4164,8438,80,75,11.19,31,0.0082,0.76,2.68,50.4,0.002,6.16,0.108,0.337,0.007
R5,189,36,IA,3,tip,5,46.1,89.2,2525,5.3,7532,4108,9139,67,66,10.94,33.2,0.0073,0.9,3.94,49.1,0.003,7.79,0.085,0.278,0.018
R5,190,28,IA,1,base,6,28.9,83.6,2837,3.5,7782,4142,8603,93,98,11.37,27,0.0059,0.75,3.54,48.9,0.003,6.29,0.166,0.245,0.023
R5,191,29,IA,1,middle,6,42.4,93.1,2921,5.6,8538,4451,9739,87,93,13.89,28.7,0.0048,0.88,3.02,61.6,0.006,7.58,0.115,0.255,0.012
R5,192,30,IA,1,tip,6,33.6,93.9,2954,3.4,8350,4837,9510,58,61,12.19,42.2,0.0067,1.28,8.31,80.3,0.001,8.71,0.082,0.313,0.009
R5,193,31,IA,2,base,6,38.6,93.7,2672,5.1,7609,3979,8770,93,94,11.38,34.6,0.0038,0.56,3.31,43.9,0.002,4.98,0.137,0.257,0.062
R5,194,32,IA,2,middle,6,49.2,111.4,2598,6.8,7541,3998,8972,80,80,10.61,31.1,0.0074,0.59,2.47,46.7,0.004,5.33,0.127,0.282,0.013
R5,195,33,IA,2,tip,6,37.9,116.8,2330,4.8,7183,3783,9456,54,45,9.63,28.2,0.0048,0.7,3.09,51.9,0.002,6.06,0.055,0.302,0.01
R5,196,34,IA,3,base,6,32.6,78.6,3109,4.5,9082,4578,10318,106,127,13.97,26.8,0.007,0.69,5.01,58.7,0.004,6.63,0.204,0.291,0.013
R5,197,35,IA,3,middle,6,31.7,86.5,2933,3.6,8118,4729,9600,83,99,12.88,30.3,0.0078,0.68,2.8,57.7,0.004,6.47,0.124,0.319,0.006
R5,198,36,IA,3,tip,6,38.4,79.7,2623,4.6,7491,4401,9351,51,55,10.98,29.3,0.0047,0.56,4.29,32.1,0.002,7.37,0.063,0.251,0.009
R5,199,28,IA,1,base,7,43.2,83.6,2911,5.4,8260,4443,8887,92,102,12.42,25.6,0.0071,0.75,3.48,55.8,0.002,6.15,0.171,0.294,0.008
R5,200,29,IA,1,middle,7,26.3,57.8,2704,3.9,7981,4196,9256,77,81,12.71,25.9,0.004,0.84,2.77,57,0.005,7.15,0.103,0.229,0.01
R5,201,30,IA,1,tip,7,31.6,77.1,2523,3.4,7547,4400,8836,60,72,12.07,31.6,0.0069,0.9,3.32,59.4,0.002,7.56,0.08,0.253,0.006
R5,202,31,IA,2,base,7,32,92.6,2272,3.9,6587,3650,7140,151,159,9.15,27.6,0.0035,0.48,4.88,30.2,0.004,4.09,0.35,0.196,0.011
R5,203,32,IA,2,middle,7,46.9,93,2445,6.2,6805,3762,8281,89,90,10.85,30,0.0052,0.59,2.42,46.1,0.007,5,0.139,0.219,0.007
R5,204,33,IA,2,tip,7,58.5,113.1,2417,6.8,7352,4198,8975,52,50,9.85,31.4,0.0102,0.77,3.94,49.5,0.002,5.67,0.055,0.291,0.021
R5,205,34,IA,3,base,7,34,97.2,2731,3.4,8045,4036,8974,94,107,11.86,30.6,0.0043,0.64,4.14,49.6,0.004,6.05,0.175,0.289,0.005
R5,206,35,IA,3,middle,7,29.9,81.5,2597,6.2,7182,4291,8813,76,83,11.28,31.4,0.0057,0.69,2.62,51.8,0.006,6.29,0.15,0.275,0.014
R5,207,36,IA,3,tip,7,37.7,105.2,3046,4.6,9022,5265,10822,83,96,14.07,31.6,0.0063,0.95,5.69,65.3,0.007,8.52,0.131,0.291,0.015
R5,208,28,IA,1,base,8,29.2,94.6,2582,3.7,7437,4390,8721,84,98,10.92,31.1,0.0062,0.71,3.38,46.3,0.004,6.19,0.152,0.28,0.011
R5,209,29,IA,1,middle,8,32.2,91.9,2825,3.8,7962,4853,9292,76,92,12.26,32.8,0.0047,0.94,3.12,57.4,0.012,7.27,0.105,0.289,0.008
R5,210,30,IA,1,tip,8,27,66.7,2767,4.5,7493,5005,7959,54,64,10.6,33.4,0.0035,1.19,3.76,71,0.004,7.83,0.083,0.257,0.013
R5,211,31,IA,2,base,8,31.4,72.8,2830,4.1,7808,4029,9135,109,131,11.08,28.4,0.008,0.71,4,45.2,0.001,5.38,0.179,0.223,0.008
R5,212,32,IA,2,middle,8,31.9,66.1,2551,4.4,7255,3974,9515,65,72,10.11,31.2,0.0054,0.73,2.71,48.2,0.003,5.65,0.102,0.247,0.006
R5,213,33,IA,2,tip,8,38.5,86.9,2300,4.8,6935,4234,8715,44,54,9.17,34.1,0.0085,0.64,3.1,44.5,0.004,5.25,0.054,0.272,0.015
R5,214,34,IA,3,base,8,31,83.5,3118,3.3,9151,4763,9904,110,129,13.7,28.1,0.0041,0.83,4.77,56.9,0.002,6.79,0.211,0.305,0.005
R5,215,35,IA,3,middle,8,35.6,101.1,2657,4,7355,4446,8562,78,93,12.13,32.1,0.0039,0.83,2.49,50.6,0.002,6.15,0.143,0.211,0.008
R5,216,36,IA,3,tip,8,53.8,109.2,2428,4.5,7171,4408,8204,73,80,10.78,33.2,0.0039,0.94,4.09,54.8,0.001,6.93,0.143,0.199,0.011
R5,217,37,MO,1,base,1,25.7,65.2,2120,3.3,5941,3498,6750,70,73,17.38,34.1,0.0082,1.39,2.03,46.6,0.001,3.1,0.492,0.104,0.004
R5,218,38,MO,1,middle,1,27,59.2,2089,4.2,5315,3763,6631,47,49,12.89,37.5,0.0067,1.32,1.39,51.7,0.002,3.37,0.312,0.113,0.002
R5,219,39,MO,1,tip,1,28.8,71.3,2179,3.8,5565,4399,7229,38,39,10.5,39.3,0.0086,1.46,1.67,55.4,0.002,4.09,0.138,0.099,0.009
R5,220,40,MO,2,base,1,38.8,61.8,2231,3.8,6545,3460,7620,43,50,12.1,31.9,0.0086,1.1,3.43,50.1,0.001,3.66,0.268,0.141,0.003
R5,221,41,MO,2,middle,1,43.4,82.4,2213,4.9,6058,4689,7579,66,70,11.9,45.1,0.0109,1.12,2.15,49.5,0.001,3.45,0.355,0.14,0.004
R5,222,42,MO,2,tip,1,68.3,102.6,1800,6.9,5593,4278,7675,60,60,10.01,46.5,0.0105,1.14,3.11,47.5,0.002,4.02,0.239,0.138,0.005
R5,223,43,MO,3,base,1,26.3,55.8,2232,3.1,6713,3658,8201,63,72,15.46,27.9,0.0118,1.03,3.16,51.5,0.001,3.68,0.339,0.132,0.007
R5,224,44,MO,3,middle,1,31.4,58.4,1925,3.9,5511,4156,7614,61,65,12.37,40.9,0.0096,0.93,2.26,50.4,0.003,3.55,0.3,0.102,0.005
R5,225,45,MO,3,tip,1,53.8,82.8,1733,6,5362,4263,8098,41,53,8.73,42.1,0.0103,0.99,2.11,46.9,0.001,4.34,0.173,0.081,0.005
R5,226,37,MO,1,base,2,56,78,2013,6.3,5713,3459,6165,69,74,17.15,35.8,0.0085,1.07,2.63,42.6,0.003,2.98,0.479,0.102,0.003
R5,227,38,MO,1,middle,2,60,82.2,2051,5,5221,3819,6512,50,52,11.93,41,0.0094,1.06,1.41,47.9,0.003,3.66,0.248,0.087,0.007
R5,228,39,MO,1,tip,2,51.2,99.4,1876,4.6,5147,3963,7047,45,39,10.39,39.4,0.0083,1.05,1.88,47.8,0.002,3.76,0.185,0.094,0.002
R5,229,40,MO,2,base,2,28,56.5,2093,3.3,5900,3055,6916,51,48,11.67,33.2,0.0074,0.8,2.97,44.3,0.001,3.34,0.279,0.132,0.003
R5,230,41,MO,2,middle,2,34,75.7,2082,4.1,5679,3653,7456,45,43,10.26,36.8,0.0119,0.76,1.93,46.3,0.006,3.48,0.22,0.124,0.008
R5,231,42,MO,2,tip,2,36.9,91.1,1890,4.4,6083,4138,8890,36,33,9.53,42.8,0.0063,0.89,2.9,47.1,0.007,4.46,0.121,0.163,0.01
R5,232,43,MO,3,base,2,24.4,60.7,2160,2.9,6309,3460,7661,70,77,14.23,29.1,0.0056,0.7,3.02,45.4,0.004,3.28,0.386,0.109,0.004
R5,233,44,MO,3,middle,2,47.3,80.9,2068,5.6,6178,4392,8466,61,64,11.85,39,0.0104,0.8,2.16,53,0.002,3.64,0.257,0.13,0.002
R5,234,45,MO,3,tip,2,39.3,78,2193,5.6,6421,4747,9698,52,64,11.84,43.4,0.0101,0.85,2.64,56.6,0.012,4.53,0.215,0.109,0.006
R5,235,37,MO,1,base,3,26.4,52.1,2484,3.9,6681,3858,7694,75,93,20.71,30.2,0.0073,1.11,2.39,46.5,0.005,3.52,0.525,0.125,0.006
R5,236,38,MO,1,middle,3,33.6,76.5,2318,3.8,6046,4048,7505,62,73,14.85,36.9,0.0059,1.22,1.59,54,0.002,3.7,0.324,0.102,0.011
R5,237,39,MO,1,tip,3,43.8,95.1,2030,4.1,5613,3789,7373,52,43,10.58,40.8,0.0049,0.99,1.74,49.8,0.008,3.73,0.244,0.122,0.006
R5,238,40,MO,2,base,3,29.4,61.6,2076,3.2,6328,3169,7123,62,65,12.49,33.9,0.009,0.85,3.72,39.6,0.002,3.12,0.403,0.111,0.005
R5,239,41,MO,2,middle,3,42.8,75.1,2316,6.4,6213,4184,7778,63,61,12.8,44.1,0.0123,1.09,2.56,49.4,0.002,3.4,0.33,0.131,0.008
R5,240,42,MO,2,tip,3,75.7,112.9,1825,11.4,6109,4720,9797,76,69,10.82,51.6,0.0092,1.17,2.52,46.5,0.005,4.77,0.375,0.126,0.008
R5,241,43,MO,3,base,3,29.1,59.8,1960,3.8,6204,3466,7393,81,94,12.64,33.2,0.0066,0.83,3.12,46.8,0.002,3.13,0.514,0.111,0.005
R5,242,44,MO,3,middle,3,48,83.9,2087,5.7,6001,4384,8169,93,108,13.19,47.7,0.009,0.96,2.28,51.1,0.004,3.65,0.497,0.111,0.008
R5,243,45,MO,3,tip,3,35.4,64.6,2222,5.1,6530,4762,9210,52,50,10.87,44.6,0.0053,1.22,3.18,65,0.007,4.83,0.206,0.114,0.004
R5,244,37,MO,1,base,4,24.1,54.8,2472,3.3,6934,3798,7660,61,68,17.54,31.9,0.0095,1.31,2.39,54.2,0.001,3.64,0.428,0.097,0.004
R5,245,38,MO,1,middle,4,36.2,75.6,2500,4.6,6626,4288,8338,64,72,15.19,37.6,0.2609,1.34,2.08,59.2,0,3.97,0.339,0.107,0.002
R5,246,39,MO,1,tip,4,42.1,78.4,2343,6.4,6178,5032,8092,45,48,12.26,44.4,0.0224,1.67,2.35,66.2,0.004,4.24,0.165,0.112,0.012
R5,247,40,MO,2,base,4,28.4,58.8,2321,4.1,7034,3456,9069,66,65,13.58,31.2,0.0081,1.02,3.64,49.3,0.002,4.1,0.383,0.112,0.005
R5,248,41,MO,2,middle,4,40.8,100.3,2351,5.4,6165,4362,7902,67,66,12.92,44.4,0.0139,1.18,2.02,51.1,0.003,3.51,0.383,0.119,0.006
R5,249,42,MO,2,tip,4,49.1,90.6,2088,7.6,5730,4175,7547,46,24,9.55,41.1,0.0089,1.13,3.25,51.5,0.002,3.8,0.197,0.118,0.002
R5,250,43,MO,3,base,4,43.1,74.6,1515,6.1,4154,3439,6005,56,59,9.63,41,0.0087,0.67,2.54,38.4,0,2.74,0.33,0.093,0.006
R5,251,44,MO,3,middle,4,42.3,101.8,1918,5.2,5575,3558,7768,56,54,10.82,35.5,0.0099,0.77,2,49.1,0.001,3.43,0.294,0.119,0.009
R5,252,45,MO,3,tip,4,82.6,132.1,2231,10.8,6424,5142,8832,53,58,10.83,52.5,0.0108,0.91,2.98,58.6,0.002,4.19,0.181,0.107,0.01
R5,253,37,MO,1,base,5,46.2,77.7,2344,5.7,6496,3292,7408,67,76,17.88,28.7,0.0105,1.08,2.72,55,0,3.65,0.464,0.103,0.011
R5,254,38,MO,1,middle,5,37.3,93.3,2301,6.7,5898,3966,7550,55,72,13.93,38.7,0.0103,1.27,1.93,55.4,0.001,3.83,0.42,0.099,0.007
R5,255,39,MO,1,tip,5,30.2,71.6,2087,4.5,5657,3682,7229,37,29,10.74,38.9,0.0364,2.3,2.16,54.2,0.002,3.92,0.13,0.34,0.006
R5,256,40,MO,2,base,5,30.2,68.2,2340,4.5,6926,3585,8496,115,135,15.1,31.8,0.0088,1.05,4.32,43.7,0.002,3.96,0.825,0.151,0.005
R5,257,41,MO,2,middle,5,31.8,82.4,2280,4.5,6233,3769,8348,64,57,12.17,35.2,0.0117,1.04,2.42,52.2,0.002,3.69,0.331,0.132,0.004
R5,258,42,MO,2,tip,5,43.6,119.7,2208,6,6184,4645,8343,64,62,11.18,48,0.0061,1.22,3.06,53.3,0.001,4.41,0.298,0.132,0.011
R5,259,43,MO,3,base,5,25.2,60.3,2090,4,6488,3411,8381,87,99,14.73,26.5,0.0083,0.8,3.79,43.9,0.001,3.78,0.532,0.106,0.011
R5,260,44,MO,3,middle,5,47.2,96.9,2035,9.7,6095,4726,8456,56,76,11.08,48.5,0.0078,0.91,2.2,52.6,0.002,3.8,0.285,0.124,0.005
R5,261,45,MO,3,tip,5,81.8,135.4,2245,10.2,6375,4880,8372,81,78,11.44,47.9,0.0091,1.24,2.97,60.5,0.001,4.03,0.328,0.141,0.003
R5,262,37,MO,1,base,6,59.9,101,2462,7.1,6836,4526,7643,131,162,19.72,34.8,0.0085,1.36,3.33,39.8,0.001,3.85,0.958,0.14,0.005
R5,263,38,MO,1,middle,6,40.1,101.3,2329,5.1,5881,4170,7748,60,62,13.48,39.6,0.009,1.38,1.76,55.2,0.003,4.06,0.339,0.113,0.021
R5,264,39,MO,1,tip,6,42,98.1,2133,5.1,5716,4152,7074,38,39,11.61,39.8,0.0106,1.49,2.58,55.7,0.003,3.92,0.205,0.131,0.019
R5,265,40,MO,2,base,6,50.6,92.6,2259,5,6648,3979,8274,65,86,12.32,40.4,0.0105,1,3.4,47.5,0.001,3.64,0.419,0.101,0.007
R5,266,41,MO,2,middle,6,40.1,80.9,2327,7.3,6345,4686,8897,72,76,12.76,54,0.0119,1.06,2.55,50.6,0.001,4.35,0.325,0.115,0.001
R5,267,42,MO,2,tip,6,42.2,90.8,2118,7.1,6251,4805,8783,73,72,11.49,45.6,0.0063,1.22,3.02,52.6,0.002,4.65,0.33,0.154,0.005
R5,268,43,MO,3,base,6,26.5,61.4,2096,3.9,6368,3676,8267,70,89,13.47,30,0.0073,0.76,3.17,46.6,0.002,3.68,0.396,0.099,0.008
R5,269,44,MO,3,middle,6,39.5,107.7,2039,5.5,5892,4115,8283,61,67,12.23,37.8,0.0116,0.8,2.31,47.9,0.003,3.66,0.277,0.107,0.01
R5,270,45,MO,3,tip,6,36,91.6,2137,4.5,6631,4579,8973,53,50,10.42,38.7,0.0073,1.08,3.19,59.9,0.003,4.48,0.165,0.103,0.015
R5,271,37,MO,1,base,7,42.4,85.5,2652,5.5,7250,4321,8362,68,80,18.45,31.9,0.0095,1.2,2.62,58.8,0.003,3.87,0.426,0.125,0.004
R5,272,38,MO,1,middle,7,34.7,81.6,2471,5.9,6352,4922,7782,67,88,14.18,45.7,0.0162,1.26,1.64,56.6,0.007,4,0.379,0.117,0.006
R5,273,39,MO,1,tip,7,51.8,113.7,2200,5.5,5824,4552,7633,34,26,10.42,40.4,0.0088,1.39,2.24,58.2,0.003,4.25,0.125,0.099,0.01
R5,274,40,MO,2,base,7,24.1,56.3,2286,3.4,6587,3315,7766,69,71,13.31,27.1,0.0085,0.92,3.69,49.4,0.003,3.47,0.418,0.152,0.005
R5,275,41,MO,2,middle,7,39.8,85.4,2121,5.4,5759,4687,7684,66,66,11.91,51.2,0.0137,0.9,2.12,47,0,3.51,0.356,0.142,0.008
R5,276,42,MO,2,tip,7,88.2,143.5,1592,14.3,4805,5014,6697,63,61,7.62,55,0.0152,0.86,2.98,31.2,0.004,3.02,0.273,0.138,0.016
R5,277,43,MO,3,base,7,34.1,57.4,2046,4.3,6000,3728,7417,84,99,14.59,38.4,0.0125,0.9,4.26,44.4,0.001,3.4,0.491,0.112,0.002
R5,278,44,MO,3,middle,7,42.8,86.9,2174,6.3,6073,4048,8217,74,82,13.53,36.3,0.0105,0.73,2.06,52.2,0.004,3.61,0.351,0.109,0.004
R5,279,45,MO,3,tip,7,38.9,94.3,2298,6.7,6529,5074,8180,55,44,11.42,47.7,0.0153,1.42,2.72,58.7,0.003,3.57,0.179,0.182,0.005
R5,280,37,MO,1,base,8,28.7,80.8,2657,3.4,7618,3982,8533,96,109,20.25,26.1,0.0086,1.45,3.24,56.2,0.002,4.22,0.682,0.111,0.008
R5,281,38,MO,1,middle,8,41.1,95.3,2248,6.4,5674,3675,7305,65,55,13.9,33,0.0098,1.37,1.66,51.1,0.003,3.54,0.333,0.117,0.009
R5,282,39,MO,1,tip,8,31.7,84.8,2074,5.5,5478,4101,6889,39,33,10.28,38.2,0.0112,1.22,1.58,50.4,0.001,3.47,0.154,0.101,0.008
R5,283,40,MO,2,base,8,23.7,59.2,2257,3.5,6594,3262,7300,63,58,12.47,26,0.0096,1.08,4.23,45.8,0,3.61,0.363,0.123,0.006
R5,284,41,MO,2,middle,8,47.6,108.7,2037,6.1,5812,3584,8157,61,50,11.85,36.2,0.0092,1.11,2.12,47.1,0.001,3.77,0.297,0.104,0.002
R5,285,42,MO,2,tip,8,43.6,99.6,1833,5.8,6173,4406,9113,53,41,9.55,42.5,0.0116,1.08,3.7,51,0.002,4.56,0.136,0.147,0.007
R5,286,43,MO,3,base,8,19.7,57.6,2004,4.4,5801,3034,7463,43,41,11,28,0.0095,0.83,2.36,47.7,0.002,3.17,0.21,0.119,0.003
R5,287,44,MO,3,middle,8,56.1,128.3,2235,9.3,6346,4772,8994,78,83,12.9,49.1,0.0114,1.14,2.76,53.1,0.002,3.9,0.319,0.108,0.013
R5,288,45,MO,3,tip,8,44.6,88.2,2046,7.7,5876,3776,8015,51,38,10.25,35.9,0.0082,0.97,2.88,55.3,0.002,3.86,0.217,0.127,0.005
