row,set,Tube,weights,Line,Su,B11,Na23,Mg25,Al27,Si29,P31,S34,K39,Ca44,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Mo98,Cd114
07U4020,R5,56,0.1531,(B73_Il14H)S5,NA,373.6250467,183.7678724,1960.981907,18.71158612,2124.013847,3671.994137,2155.221397,3525.680537,201.0561179,3.572859006,31.25774504,0.003213592,0.254379996,1.183891085,9.239250481,0.371447624,1.04531276,2.912359698,0.220607565,0.086188724
07U4021,R5,57,0.1669,(B73_Il14H)S5,NA,401.2576936,184.3269584,2405.500604,28.22911041,2336.854414,4666.17657,2874.179156,6026.103181,228.1131946,10.36418433,40.43799264,0.002867559,0.189345018,2.339946787,11.96816006,0.320195181,0.84992687,4.518691868,0.212158038,0.010314127
07U4022,R5,58,0.2629,(B73_Il14H)S5,NA,238.9486197,113.7586269,2273.761253,18.10437689,2124.848474,4100.757208,2399.214649,3707.002255,133.0243407,4.80701077,31.32942113,0.003351491,0.06119394,1.335248376,25.34736029,0.192132591,0.598021914,1.912848285,0.352109955,0.058859634
07U4023,R5,59,0.226,(B73_Il14H)S5,NA,384.1320051,175.4305303,2493.459101,33.36665485,2392.975452,4438.412143,2343.257423,5154.69625,130.1139604,6.795926824,36.79987708,0.00398502,0.305533868,1.309303735,27.42415374,0.214184527,0.191391271,3.965362985,0.344853671,0.031137605
07U4024,R5,60,0.1373,(B73_Il14H)S5,NA,646.7521067,302.0656204,1351.268411,37.30320708,4419.703188,2881.358329,2652.941291,3200.387892,231.3857121,4.804055913,38.05682715,0.006680393,0.113433509,2.144717688,17.95867202,0.387379698,1.04717392,2.167901985,0.175140609,0.010729864
07U4025,R5,61,0.2256,Il14H,NA,437.4961711,208.3991194,2573.793302,41.66986247,2185.828227,5418.166477,2439.009642,6290.228519,142.7717888,7.221030007,29.69986704,0.005400514,0.157857371,1.354497088,23.46795651,0.21627393,0.211790316,3.708566365,0.267443569,0.091070323
07U4026,R5,62,0.2593,(B73_Il14H)S5,NA,384.3050974,188.0716113,2064.53611,30.26902346,1804.042189,3297.545969,1775.791335,2968.069201,133.3219296,4.610274374,23.38764053,0.004348287,0.222822733,1.150358363,15.95755926,0.175398879,0.138131266,2.292617861,0.126039795,0.005014556
07U4027,R5,63,0.1448,(B73_Il14H)S5,NA,661.3503415,343.0161357,2476.903202,49.81412164,3679.519118,4279.494793,2746.15396,4455.924838,202.4241611,5.062220974,44.22321741,0.004459866,0.10278894,1.601963939,25.19638381,0.349521101,0.48523145,2.004953207,0.238425618,0.008690208
07U4029,R5,64,0.196,(B73_Il14H)S5,NA,477.123802,251.4613477,2384.570987,37.50803817,2054.532901,4260.496233,2748.921696,3810.321665,169.0740585,6.605672325,39.88245334,0.007754329,0.26086872,1.964346917,29.78916212,0.278651371,0.323504874,2.398134743,0.170145087,0.054836255
07U4030,R5,65,0.1519,(B73_Il14H)S5,NA,524.2408806,254.9060248,2171.26122,48.7391588,2304.73002,4012.508095,2091.179135,3240.919502,201.9809787,7.175797413,35.08287127,0.008235972,0.081807106,2.360772123,16.35268158,0.362367136,0.236457514,1.998906863,0.242919579,0.061367025
07U4031,R5,66,0.2003,(B73_Il14H)S5,NA,371.6169177,185.6726296,2126.787507,30.74520867,1196.483473,3590.503661,2437.68496,3539.988921,154.1378822,4.376586751,32.05800168,0.005380915,0.210135658,1.328820074,23.22887832,0.260789037,0.2231625,1.311935975,0.146026999,0.042941509
07U4032,R5,67,0.167,(B73_Il14H)S5,NA,608.0082894,299.6756955,2576.372872,46.92488346,2644.4943,5178.869355,2501.511712,5311.081592,186.9817407,8.224229762,36.40631783,0.008006615,0.179712703,2.790456212,19.33759065,0.327410897,0.205925786,2.401263116,0.196147274,0.013064035
07U4033,R5,68,0.1882,Il14H,NA,436.8530637,209.5167191,2469.346056,38.66527964,1469.628753,5135.846195,2771.548154,5714.546249,177.4507612,8.820812905,40.6815923,0.011268773,0.385898282,2.124565553,20.22190027,0.295553729,0.287355033,1.720262042,0.256847376,0.129468525
07U4034,R5,69,0.2474,(B73_Il14H)S5,NA,224.0591436,99.67114452,2012.074052,18.49290751,1115.622295,4401.253522,2213.814957,3822.459879,122.8773762,12.37850064,33.16870657,0.00463191,0.084785254,2.660017969,21.14996415,0.192738226,0.067622465,1.490113281,0.208162094,0.083422636
07U4035,R5,70,0.3076,(B73_Il14H)S5,round,268.7477675,127.7970456,2022.540773,20.0251268,1853.14123,3592.117747,1806.896282,2837.251304,87.92396339,4.916622352,29.52062799,0.006597048,0.113256813,0.708253239,22.70536258,0.166127678,0.166265675,0.890364172,0.123852554,0.004807723
07U4036,R5,71,0.2351,(B73_Il14H)S5,NA,313.0311521,139.6817376,2508.681756,34.86797341,1494.431209,4058.741823,2226.214647,3872.922491,138.6357715,10.11753622,28.42576991,0.005374657,0.177388107,1.455390024,16.66652525,0.216217966,0.158223062,1.675357299,0.274516285,0.015049652
07U4037,R5,72,0.151,(B73_Il14H)S5,NA,955.7960515,430.5192605,2552.80054,67.61788223,7861.454865,4510.497283,2746.730161,5317.99968,216.8543653,7.732617214,41.20633988,0.015677196,0.128082021,2.742910187,28.80999728,0.35059352,0.14615083,1.333856626,0.233472565,0.018954101
07U4038,R5,73,0.2847,(B73_Il14H)S5,NA,281.5138907,132.3897131,2184.159894,34.39693205,2253.483575,3744.704345,1520.829665,3289.800124,135.9825731,4.083531607,31.26610822,0.004453711,0.065093461,1.234253667,12.32569854,0.187773091,0.104253264,0.906975916,0.172186222,0.032654458
07U4039,R5,74,0.2515,(B73_Il14H)S5,NA,448.1313383,219.3659683,2113.337081,35.09765871,2623.828151,3667.598557,2070.522786,3466.339877,127.0520808,4.787353491,28.64909407,0.004713336,0.133332405,1.75727373,21.66621946,0.213263011,0.071136106,1.483515473,0.186856066,0.004818707
07U4040,R5,75,0.2174,(B73_Il14H)S5,NA,367.841921,175.2817811,2341.728827,43.30564813,2400.056468,4992.990155,2123.679493,4456.853957,192.2112199,10.40135355,41.47416806,0.008787499,0.201896141,3.331305807,26.5380274,0.896642772,0.265689422,2.858547379,0.216246151,0.080008686
07U4041,R5,76,0.203,(B73_Il14H)S5,NA,397.0702468,192.4707763,1997.974922,41.10483998,1902.822634,3680.463376,2222.905115,3605.778441,148.1251881,5.4342262,34.87499819,0.011465645,0.271437749,1.702075716,27.06319901,0.381400827,0.140807089,1.935938673,0.188557186,0.006032586
07U4042,R5,77,0.1737,(B73_Il14H)S5,NA,410.2463283,192.8384959,2541.061051,38.35475389,3357.510851,4110.314131,2610.73601,3286.11399,179.2287017,4.054763034,38.6248266,0.012333038,0.151863481,2.112529493,19.6671782,0.328205642,0.247244912,2.060108219,0.170272854,0.028106648
07U4043,R5,78,0.2135,(B73_Il14H)S5,NA,435.0805442,209.7264749,2534.71517,36.72756454,2545.87096,3830.498535,1813.285269,3658.234662,168.5170772,12.52174907,36.29476824,0.008655284,0.294230645,1.939079186,17.95150922,0.312303598,15.26557354,1.380831577,0.196463323,0.010306222
07U4044,R5,79,0.0996,(B73_Il14H)S5,NA,640.4470415,321.5371351,1459.617718,51.55261584,3948.272328,2775.548018,2608.703095,3827.064284,325.6201088,5.104150755,41.8631543,0.013222455,0.140377457,2.267896176,21.8875838,0.599801887,0.451234108,1.554313802,0.194326259,0.036572527
07U4045,R5,80,0.1311,(B73_Il14H)S5,NA,656.3948028,330.8922819,2276.214187,48.93567335,4268.819995,4316.780971,2747.587028,6295.896461,224.4463962,6.26829156,40.33525177,0.006569702,0.186707468,3.009634049,29.53547518,0.439627603,0.654018757,2.582663926,0.305700878,0.044588637
07U4046,R5,81,0.2176,B73,NA,361.9023267,173.10781,1936.929293,27.41831641,2407.988277,3492.023528,2080.916623,4232.334167,120.5007862,6.499627193,28.98274185,0.007311618,0.256541611,1.387672905,18.74426897,0.226606159,0.43930009,2.491135522,0.167106322,0.004338167
07U4047,R5,82,0.2086,(B73_Il14H)S5,NA,377.8215516,170.819201,2158.647348,39.51992656,2531.178502,3729.996346,2322.850828,3621.515064,143.3040622,6.531456058,29.20899905,0.007437926,0.246579632,1.530132005,25.61388934,0.251012199,0.14062481,2.651071939,0.115169307,0.00712839
07U4048,R5,83,0.1556,(B73_Il14H)S5,NA,402.6482267,181.7042215,2430.24675,38.44657792,2710.677283,4619.722718,2790.58149,5552.991561,199.9297338,9.597004538,43.64999866,0.006710052,0.183087249,3.64214601,23.25585518,0.307956293,0.384097026,2.659924695,0.172297101,0.004133218
07U4049,R5,84,0.2198,(B73_Il14H)S5,NA,308.1385744,135.8358059,2012.548096,29.96198077,2767.306039,3230.404098,1808.15228,4056.270067,134.0946103,7.951445038,26.95779768,0.00507156,0.14838842,1.157174957,22.56956424,0.226911976,0.117914745,1.474571089,0.140853639,0.003971172
07U4050,R5,85,0.1999,(B73_Il14H)S5,NA,361.626592,186.3515704,2339.210924,41.62016065,1905.21787,4028.837514,1920.02886,3721.140508,149.91428,8.618689203,27.8218085,0.009829178,0.441209117,1.162169588,17.17158981,0.237675776,0.116019771,2.196742224,0.264260403,0.027860607
07U4051,R5,86,0.1336,(B73_Il14H)S5,NA,527.8017332,271.8110547,2172.523064,55.43357304,2998.716765,4064.890777,2356.897375,6449.27201,225.5087468,9.751650566,34.37386771,0.010242174,0.234043511,1.741399492,16.47796835,0.363748745,0.135200023,3.268627351,0.248907872,0.010183626
07U4053,R5,87,0.1886,(B73_Il14H)S5,NA,328.0763498,164.8197388,2438.676647,31.22966058,2615.680306,4110.492413,2479.303493,5168.566502,197.0186246,10.6833233,44.54270524,0.007439959,0.18524124,1.771871956,23.64948515,0.253324971,0.164533674,2.562705344,0.19409947,0.025168522
07U4054,R5,88,0.1285,(B73_Il14H)S5,NA,764.1169628,395.942647,1988.646772,64.64302267,3844.026548,4138.459506,2552.002457,4095.171148,249.5716353,7.326864942,41.02430491,0.009716509,0.140735257,1.765441377,18.69201068,0.427984051,0.520153369,3.148567582,0.292000502,0.007702386
07U4056,R5,89,0.211,B73,NA,327.430929,159.5092022,1975.411813,28.60297785,1848.641206,3608.956155,2092.825266,4569.531465,149.4715523,6.961827671,28.83108189,0.00492606,0.225688716,1.663185442,19.91831763,0.248095109,0.201866945,3.339569097,0.160689814,0.004179597
